Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,156.303482,164.040497,156.184769,163.535919,152.665009,27906448
05-01-2010,162.259598,167.147186,153.246277,160.686478,150.004959,23669317
06-01-2010,162.200241,162.932388,159.311234,160.933823,150.235825,14990820
07-01-2010,161.17128,161.923218,154.344498,155.432831,145.10054,22722030
08-01-2010,156.323273,159.251862,155.343781,156.283707,145.894852,16495776
11-01-2010,158.104172,158.104172,154.789719,156.352951,145.959488,11776347
12-01-2010,155.927521,157.70842,154.552277,155.591125,145.248322,10657130
13-01-2010,155.333893,157.193939,152.781265,155.32399,144.998947,17659374
14-01-2010,155.531769,156.778397,154.255447,154.769943,144.481735,8626217
15-01-2010,154.938126,158.994629,153.355118,157.748001,147.261795,18955837
18-01-2010,157.045532,161.01297,155.383362,160.44902,149.783279,18756613
19-01-2010,160.874466,162.022156,158.707703,159.627838,149.016678,11559642
20-01-2010,160.280823,160.755737,158.114075,159.28154,148.693405,10185363
21-01-2010,158.242691,159.024307,154.40387,154.888657,144.592529,9291983
22-01-2010,150.861862,155.828583,149.199677,153.958633,143.724335,12698513
25-01-2010,153.988327,154.938126,150.386948,152.098587,141.98793,8448704
27-01-2010,148.803925,150.861862,140.73053,142.066193,132.622437,16092885
28-01-2010,143.461227,145.370758,138.959518,140.710739,131.357086,27120072
29-01-2010,139.503677,140.849243,132.874786,137.396286,128.262955,20899408
01-02-2010,136.080399,143.134735,134.23024,142.442169,132.97345,24102055
02-02-2010,144.450623,146.429398,139.51358,140.384232,131.052292,21818956
03-02-2010,141.482452,143.856995,140.364456,142.778564,133.28746,11665708
04-02-2010,142.669724,143.461227,135.763794,136.456375,127.385544,14364089
05-02-2010,132.577972,134.259933,130.233124,133.013306,124.171341,22246872
08-02-2010,133.577255,136.11998,125.404907,133.221069,124.36528,17350173
09-02-2010,131.638046,136.139771,131.400604,133.834488,124.937935,13384786
10-02-2010,135.546127,137.327026,131.984329,132.5186,123.709518,13442883
11-02-2010,133.567352,136.911484,133.280441,136.100189,127.053017,10099224
15-02-2010,137.307236,138.989197,134.655685,135.180054,126.194054,12144363
16-02-2010,135.96167,140.295197,135.546127,139.137604,129.888535,10227647
17-02-2010,140.493073,142.867599,140.107208,140.789886,131.430984,12520479
18-02-2010,141.383514,142.452057,139.206863,140.463394,131.12619,11860551
19-02-2010,139.305801,140.374344,136.021042,138.474716,129.269714,12664376
22-02-2010,140.493073,141.423096,138.820999,139.51358,130.239517,8688478
23-02-2010,138.316422,140.869034,137.524902,138.454926,129.251236,13054284
24-02-2010,136.931274,138.18779,133.567352,135.437302,126.434196,15428009
25-02-2010,136.139771,136.139771,130.866333,132.063492,123.284668,23716569
26-02-2010,131.588577,142.600464,131.588577,140.73053,131.37558,27928931
02-03-2010,142.471848,159.805923,142.471848,157.916183,147.418823,49889228
03-03-2010,160.280823,161.062439,157.352234,160.132416,149.487732,34628599
04-03-2010,160.063156,164.179016,158.13385,160.874466,150.18045,36989165
05-03-2010,161.863846,161.863846,156.659668,157.164261,146.716888,27008963
08-03-2010,158.302048,161.68576,156.946594,157.837036,147.34494,20424255
09-03-2010,155.333893,155.333893,150.980576,153.562881,143.354874,57668210
10-03-2010,153.948746,156.877335,153.444153,154.097153,143.853668,22771045
11-03-2010,154.344498,154.89856,151.722626,152.44487,142.311188,13225081
12-03-2010,152.959351,154.156509,150.159393,150.565033,140.556335,18038608
15-03-2010,149.397568,153.493622,148.803925,152.187637,142.071075,17543044
16-03-2010,152.959351,155.99678,152.781265,155.541656,145.202133,14401329
17-03-2010,156.283707,157.461075,153.948746,154.443436,144.17691,18807902
18-03-2010,154.878769,156.125397,153.196808,154.40387,144.139984,10309081
19-03-2010,153.454056,155.620804,153.355118,155.066757,144.75882,9961296
